Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,Phone_Use,Caffeine,Exercise,Stress,GPA,Sleep_Index
10/25/2024 14:35:31,Graduate student,Male,5,4,4,4,4,5,4,4,4,4,4,5,2,4.25
10/25/2024 14:35:55,Graduate student,Male,5,4,4,5,5,5,5,5,4,4,4,4,2,4.75
10/25/2024 14:36:26,Third year,Female,4,4,5,5,4,4,5,5,4,4,5,4,2,4.5
10/25/2024 14:36:51,Graduate student,Female,4,5,4,5,5,5,5,5,5,4,5,4,2,4.75
10/25/2024 14:38:50,Graduate student,Male,4,4,4,5,5,5,5,5,5,4,4,5,2,4.625
10/25/2024 14:39:09,Third year,Male,4,5,5,4,4,4,5,4,4,4,5,5,2,4.375
10/25/2024 14:39:43,Third year,Male,4,4,5,5,4,5,5,4,4,5,4,5,1,4.5
10/25/2024 14:40:03,Third year,Female,4,4,4,4,4,3,5,4,4,5,5,5,2,4
10/25/2024 14:40:26,Third year,Male,5,5,5,5,4,5,4,4,4,4,5,5,1,4.625
10/25/2024 14:40:44,Third year,Female,5,4,4,4,5,3,4,4,5,5,5,5,2,4.125
10/25/2024 14:41:05,Third year,Male,4,4,4,5,5,5,5,5,4,5,5,4,2,4.625
10/25/2024 14:44:33,Graduate student,Male,4,4,4,5,5,5,4,4,4,5,4,5,2,4.375
10/25/2024 14:45:02,Graduate student,Male,5,5,4,5,5,4,5,4,4,4,4,5,2,4.625
10/25/2024 14:45:46,Graduate student,Male,4,5,5,4,5,3,4,4,4,4,4,4,2,4.25
10/25/2024 14:46:29,Graduate student,Male,5,4,5,5,4,5,4,4,5,5,4,4,2,4.5
10/25/2024 14:46:59,Graduate student,Female,5,5,5,5,4,4,5,5,4,5,5,5,2,4.75
10/25/2024 14:51:35,Graduate student,Male,5,5,4,5,5,5,4,4,3,4,4,4,1,4.625
10/25/2024 14:53:03,Graduate student,Female,4,4,5,5,4,4,4,4,4,4,4,4,2,4.25
10/25/2024 15:00:28,Graduate student,Male,5,5,4,5,4,4,4,4,4,4,4,5,2,4.375
10/25/2024 15:02:22,Graduate student,Female,4,4,4,4,4,5,5,5,5,5,5,5,2,4.375
10/25/2024 15:03:27,Graduate student,Male,5,5,5,5,5,5,5,5,5,5,4,5,2,5
10/25/2024 15:03:49,Graduate student,Female,5,4,5,5,5,5,4,5,5,5,5,5,2,4.75
10/25/2024 15:04:31,Graduate student,Male,5,4,5,5,5,5,5,5,5,5,4,5,2,4.875
10/25/2024 15:05:08,Graduate student,Male,4,5,5,5,4,4,3,4,4,5,5,5,2,4.25
10/25/2024 15:05:59,Graduate student,Male,5,5,4,4,5,5,5,5,4,4,5,5,2,4.75
10/25/2024 15:06:32,Graduate student,Male,5,4,4,5,5,5,4,5,3,5,5,5,1,4.625
10/25/2024 15:06:50,Graduate student,Male,4,4,4,5,5,5,5,4,5,4,5,5,2,4.5
10/25/2024 15:07:09,Graduate student,Female,5,5,5,5,4,4,4,4,5,5,4,5,2,4.5
10/25/2024 15:07:28,Graduate student,Female,4,4,5,5,5,5,4,4,4,5,4,5,2,4.5
